AP,Amapá
AP,Amapá,Lourenço
AP,Amapá,Lourenço,Lourenco
AP,Amapá,Macapá
AP,Amapá,Macapá,Aeroporto
AP,Amapá,Macapá,Alvorada
AP,Amapá,Macapá,Araxá
AP,Amapá,Macapá,Área Portuária
AP,Amapá,Macapá,B Loteamento Açai
AP,Amapá,Macapá,Beirol
AP,Amapá,Macapá,Boné Azul
AP,Amapá,Macapá,Brasil Novo
AP,Amapá,Macapá,Buritizal
AP,Amapá,Macapá,Cabralzinho
AP,Amapá,Macapá,Campina
AP,Amapá,Macapá,Cental
AP,Amapá,Macapá,Central
AP,Amapá,Macapá,Centro
AP,Amapá,Macapá,Centrp
AP,Amapá,Macapá,Cidade Nova
AP,Amapá,Macapá,Cj Alfaville
AP,Amapá,Macapá,Cj Embrapa
AP,Amapá,Macapá,Cj Hospital de Base
AP,Amapá,Macapá,Cj Marabaixo
AP,Amapá,Macapá,Cj Sol Nascente
AP,Amapá,Macapá,Congós
AP,Amapá,Macapá,Conjunto Açaí
AP,Amapá,Macapá,Conjunto Barra do Ceará
AP,Amapá,Macapá,Conjunto Ego
AP,Amapá,Macapá,Conjunto Laurindo Banha
AP,Amapá,Macapá,Coqueiro
AP,Amapá,Macapá,Coração 
AP,Amapá,Macapá,Cuba de Asfalto
AP,Amapá,Macapá,Culba de Asfalto
AP,Amapá,Macapá,Fazendinha
AP,Amapá,Macapá,Fortaleza
AP,Amapá,Macapá,Hospitalidade
AP,Amapá,Macapá,Infraero i
AP,Amapá,Macapá,Infraero ii
AP,Amapá,Macapá,Jardim 1
AP,Amapá,Macapá,Jardim Equatorial
AP,Amapá,Macapá,Jardim Felicidade
AP,Amapá,Macapá,Jardim Felicidade I
AP,Amapá,Macapá,Jardim Felicidade II
AP,Amapá,Macapá,Jardim Marco 0
AP,Amapá,Macapá,Jardim Marco Zero
AP,Amapá,Macapá,Jd. Equatorial
AP,Amapá,Macapá,Jesus de Nazaré
AP,Amapá,Macapá,Julião Ramos
AP,Amapá,Macapá,Jurunas
AP,Amapá,Macapá,Laguinho
AP,Amapá,Macapá,Lot Morada das Palmeiras
AP,Amapá,Macapá,Loteamento Alencar
AP,Amapá,Macapá,Loteamento Amazonas
AP,Amapá,Macapá,Lto Murici
AP,Amapá,Macapá,Marabaixo 4
AP,Amapá,Macapá,Marambaia
AP,Amapá,Macapá,Marco
AP,Amapá,Macapá,Marco 0
AP,Amapá,Macapá,Marco Zero
AP,Amapá,Macapá,Muca
AP,Amapá,Macapá,Nova Esperança
AP,Amapá,Macapá,Novo Buritizal
AP,Amapá,Macapá,Novo Horizonte
AP,Amapá,Macapá,Pacoval
AP,Amapá,Macapá,Pantanal
AP,Amapá,Macapá,Paraíso
AP,Amapá,Macapá,Pascoval
AP,Amapá,Macapá,Pedreira
AP,Amapá,Macapá,Pedrinhas
AP,Amapá,Macapá,Perpétuo Socorro
AP,Amapá,Macapá,Reduto
AP,Amapá,Macapá,Renascer
AP,Amapá,Macapá,Res Irmãos Platon
AP,Amapá,Macapá,Rural
AP,Amapá,Macapá,Santa Inês
AP,Amapá,Macapá,Santa Rita
AP,Amapá,Macapá,São Lázaro
AP,Amapá,Macapá,Teleamapá
AP,Amapá,Macapá,Trem
AP,Amapá,Macapá,Umarizal
AP,Amapá,Macapá,Universidade
AP,Amapá,Macapá,Zerão
AP,Amapá,Mazagão
AP,Amapá,Mazagão,Bom Jesus
AP,Amapá,Mazagão,Estação
AP,Amapá,Mazagão,Mazagao
AP,Amapá,Mazagão,Olaria
AP,Amapá,Mazagão,Sao Tiago
AP,Amapá,Mazagão Velho - Mazagão
AP,Amapá,Mazagão Velho - Mazagão,Mazagao Velho
AP,Amapá,Oiapoque
AP,Amapá,Oiapoque,Alter do Chão
AP,Amapá,Oiapoque,Centro
AP,Amapá,Oiapoque,Clevelancia Norte
AP,Amapá,Oiapoque,Clevelândia Do Norte
AP,Amapá,Oiapoque,Nova Esperanca
AP,Amapá,Oiapoque,Planalto
AP,Amapá,Oiapoque,Rocha Miranda
AP,Amapá,Oiapoque,São José
AP,Amapá,Pedra Branca do Amapari
AP,Amapá,Pedra Branca do Amapari,Água Fria
AP,Amapá,Pedra Branca do Amapari,Arco Iris
AP,Amapá,Pedra Branca do Amapari,Cai Nagua
AP,Amapá,Pedra Branca do Amapari,Centro
AP,Amapá,Porto Grande
AP,Amapá,Porto Grande,Aereoporto
AP,Amapá,Porto Grande,Aeroporto
AP,Amapá,Porto Grande,Centro
AP,Amapá,Porto Grande,Malvinas
AP,Amapá,Porto Grande,Palmeiras
AP,Amapá,Pracuúba
AP,Amapá,Pracuúba,Central
AP,Amapá,Santa Luzia do Pacuí
AP,Amapá,Santa Luzia do Pacuí,Centro
AP,Amapá,Santana
AP,Amapá,Santana,Agreste
AP,Amapá,Santana,Area Pontuaria
AP,Amapá,Santana,Área Portuária
AP,Amapá,Santana,Beirol
AP,Amapá,Santana,Buritizal
AP,Amapá,Santana,Central
AP,Amapá,Santana,Centro
AP,Amapá,Santana,Comercial
AP,Amapá,Santana,Coracao
AP,Amapá,Santana,Daniel
AP,Amapá,Santana,Delta
AP,Amapá,Santana,Distrito Industrial
AP,Amapá,Santana,Elesbao
AP,Amapá,Santana,Fonte Nova
AP,Amapá,Santana,Fortaleza
AP,Amapá,Santana,Hospitalidade
AP,Amapá,Santana,Jardim Marco Zero
AP,Amapá,Santana,Laranjeiras
AP,Amapá,Santana,Multirao
AP,Amapá,Santana,Nova Brasília
AP,Amapá,Santana,Nova Uniao
AP,Amapá,Santana,Novo Horizonte
AP,Amapá,Santana,Pacoval
AP,Amapá,Santana,Paraiso
AP,Amapá,Santana,Picarreira
AP,Amapá,Santana,Provedor
AP,Amapá,Santana,Provedor i
AP,Amapá,Santana,Provedor ii
AP,Amapá,Santana,Remedios
AP,Amapá,Santana,Remedios ii
AP,Amapá,Santana,Santa Inês
AP,Amapá,Santana,Santa Rita
AP,Amapá,Santana,Universidade
AP,Amapá,Santana,Vila Amazonas
AP,Amapá,São Joaquim do Pacuí
AP,Amapá,São Joaquim do Pacuí,Centro
AP,Amapá,São Joaquim do Pacuí,Sao Joaquim Pacui
AP,Amapá,Serra do Navio
AP,Amapá,Serra do Navio,Centro
AP,Amapá,Serra do Navio,Jardim Paulistano
AP,Amapá,Serra do Navio,Pedreira
AP,Amapá,Serra do Navio,Trem
AP,Amapá,Serra do Navio,Vila Administrativa
AP,Amapá,Serra do Navio,Vila Intermediaria
AP,Amapá,Serra do Navio,Vila Primaria
AP,Amapá,Tartarugalzinho
AP,Amapá,Tartarugalzinho,Caixa Economica
AP,Amapá,Tartarugalzinho,Centro
AP,Amapá,Tartarugalzinho,Morro Macaco
AP,Amapá,Tartarugalzinho,Novo
AP,Amapá,Tartarugalzinho,São José
AP,Amapá,Tracajatuba I
AP,Amapá,Vila Macedônia
AP,Amapá,Vila Macedônia,Centro
AP,Amapá,Vila Macedônia,Monte Carmelo
AP,Amapá,Vila Maraca
AP,Amapá,Vila Progresso - Macapá
AP,Amapá,Vila Progresso - Macapá,Centro
AP,Amapá,Vitória do Jari
AP,Amapá,Vitória do Jari,Central
AP,Amapá,Vitória do Jari,Centro
AP,Amapá,Vitória do Jari,Comercial
AP,Amapá,Vitória do Jari,Maritima
AP,Amapá,Vitória do Jari,Mina
AP,Amapá,Vitória do Jari,Plantao
AP,Amapá,Vitória do Jari,Prainha
AP,Amapá,Vitória do Jari,Sao Pedro
